Description,"Average branch length","Average contraction","Average fragmentation","Average remote bif. angle","Average partition asymmetry","Average fractal dimension",Depth,Height,"Highest path order","Cable length","No. of branch points","No. of branches","No. of nodes","No. of primary branches","No. of inner branches","No. of terminal branches","No. of tips","Length of primary branches (sum)","Length of inner branches (sum)","Length of terminal branches (sum)","Horton-Strahler number","Horton-Strahler bifurcation ratio",Width,"Sholl: Centroid","Sholl: Centroid radius","Sholl: Decay","Sholl: Enclosing radius","Sholl: Intercept","Sholl: Kurtosis","Sholl: Max","Sholl: Max (fitted)","Sholl: Max (fitted) radius","Sholl: Mean","Sholl: Median","Sholl: No. maxima","Sholl: No. secondary maxima","Sholl: Degree of Polynomial fit","Sholl: Skeweness","Sholl: Sum","Sholl: Variance",projectionGroup
AA0011,169.2039731467824,0.8872706538744026,12.577487765089723,71.61901416675335,0.5778485040095205,1.0286240233055906,9222.839241,6472.1157410000005,21,207444.07107795522,610,1226,14195,7,13,617,617,257.24621523217536,4310.396400368936,72077.01715837534,6,2.4245487687057716,5669.184387,10.780889621087315,5074.70864260366,3.754246364786397,10149.41728520733,6.542481864995787,8.403473263790927,81.0,67.62686231549417,117.23749339348402,10.780889621087367,8.0,1,1,20,2.337513845629808,6544.0,130.88755498284513,PT-Thalamus
AA0114,218.0571543501976,0.8934001476448233,13.753180661577607,66.54029265245761,0.5679281428698254,1.024002194535698,9157.205769,4405.924741,10,171392.92331925532,392,786,10025,1,17,394,394,57.80396226657344,6498.444418018544,68848.94475876483,6,2.192415632227995,4537.467303,8.715705765407554,4851.845879538247,3.098315957391624,9703.691759076493,1.1609421376848963,10.710960154768983,56.0,29.16993423897856,6108.299991769267,8.71570576540755,6.0,1,3,20,2.87275510499686,4384.0,75.56244208058402,PT-Thalamus
AA0115,219.65246076458925,0.89397278876669,13.77639751552795,66.37633633543909,0.5089981334609256,1.025374324578347,9034.200203,4910.87874,12,106092.1385492966,239,483,6172,1,12,244,244,122.75048151924594,8165.1364976984105,32472.6860909025,5,2.1487042727538777,4898.970495,5.608863198458574,5066.4516677051315,2.8069402317872525,10132.903335410263,-1.7087547673576107,1.8629128114410314,27.0,NaN,NaN,5.608863198458587,4.0,1,10,NaN,1.477103345803116,2911.0,26.57451588665456,PT-Thalamus
AA0122,228.40137055762477,0.9116339151031186,10.919104991394148,61.50268684825993,0.5262304634482207,1.01913034557524,8102.612061999999,4162.9687109999995,11,132701.19629398,286,581,5764,11,6,296,296,3303.6473031481096,4869.054295107217,58337.3546201113,6,2.9891695102035394,4251.491986,9.692307692307692,3862.790136825828,2.6153621231669595,7725.580273651654,-2.7012072718239275,1.210397602761216,44.0,42.53688807615916,81.32189761738584,9.692307692307686,7.0,1,1,20,1.281151926303689,2772.0,77.19622132253727,PT-Thalamus
AA0181,204.03702014355727,0.9041004168130566,7.109404990403071,70.19785754348483,0.5407952719906484,1.0237210802114487,8480.881542,5172.3553360000005,11,106303.28749479336,256,521,3184,10,11,266,266,513.2573446574266,6670.203494652951,37120.69552882076,6,2.526335079811901,4088.1212450000003,6.030973451327434,4369.392900646987,3.018657842218125,8738.785801293972,-0.02214610246780972,13.091302891924608,52.0,44.46478069122712,77.67809601150198,6.03097345132743,3.5,1,3,20,2.9089770350864397,1363.0,47.727925270403084,PT-Thalamus
AA0182,274.08886506772797,0.9064600658361581,7.014373716632443,63.53691764545076,0.5752618116604453,1.019715454135329,9216.856557000001,5677.376141,17,133481.2772879835,241,487,2930,7,8,247,247,852.7035981699592,8127.940678517706,48489.63750817665,5,2.4833333333333334,4527.121138,6.430051813471502,5176.0965064802085,2.90049371189329,10352.193012960432,-0.7146362661473233,-0.03258514805655155,22.0,16.846531127233227,107.83534388500449,6.430051813471503,4.0,1,1,20,1.0190905758884885,1241.0,26.350550518134792,PT-Thalamus
AA0245,205.55657041700584,0.9058400602340779,7.869481765834933,67.58347820659026,0.5770963709975325,1.0223393960481162,8466.288781,5626.769662000001,18,214189.9463745201,515,1042,7159,12,11,528,528,555.3930230338988,5500.998793855329,87497.05007334231,6,2.4155454299687875,4916.304803000001,13.452380952380953,3971.3426379902176,2.905740620264277,7942.685275980436,0.13590460531309637,2.0794111766965373,56.0,50.78898492431782,76.00655766488455,13.452380952380949,11.0,1,2,20,1.21338499216445,2825.0,93.53121439963542,PT-Thalamus
AA0261,125.96540734922787,0.9347660694359193,5.08993399339934,68.71253297443863,0.6208315756759852,1.0201465397138434,7102.280262,5504.554635,31,152670.07370726418,598,1212,4958,10,11,615,615,535.2933299135128,5131.663497172023,50234.360759763855,6,2.4965970405933144,4192.562286,9.81159420289855,3924.641485314386,2.8704799604141438,7849.282970628772,-0.6427401105437268,2.884790270752804,52.0,47.78582366133729,76.20663078280361,9.811594202898547,6.0,1,2,20,1.6791565405732205,2031.0,95.15365132967493,PT-Thalamus
AA0415,154.7725246759636,0.8949049564747311,20.991097922848663,66.57006509039562,0.5131095017626028,1.031010290622686,7338.682364,4851.793762,23,52158.340815799726,165,337,6738,9,7,173,173,285.5904057836549,3161.503953444969,24004.3661785702,5,2.5596887562506128,3323.8407960000004,4.09811320754717,3883.562948912733,3.4611787809703483,7767.125897825466,3.1564733442074,32.28647270866431,62.0,52.40461223987157,78.2581954440853,4.09811320754718,2.0,1,1,20,5.243273316534923,3258.0,46.416054370040406,PT-Thalamus
AA0617,103.99997427910111,0.8841950621874453,8.581032412965186,76.07357871635053,0.5971837249736022,1.036292957759595,5971.986221,5820.9316260000005,15,86631.97857449124,408,833,6316,13,9,426,426,523.5652183600885,4258.579135563329,29858.350572997148,5,2.798827212410055,2867.195352999999,6.708609271523179,3606.853913656619,3.5667717474030964,7213.70782731324,4.437445915353792,22.583991026099056,72.0,62.487551832734894,79.79765295700487,6.708609271523172,4.0,1,2,20,4.2466410019054415,3039.0,84.33083279610844,PT-Thalamus
AA0764,245.03100054114495,0.868082551190103,38.88296488946684,72.62038101707587,0.5827403256084169,1.0302474234772494,7695.454376000001,6315.377781,21,188428.8394161405,378,769,29133,11,11,392,392,677.9139648148968,7090.790918759029,72419.28765421924,5,2.6166807898846023,3110.6128179999996,11.818380743982495,3838.670729548336,3.2200644112160877,7677.341459096672,2.4761325471571753,2.975926092249029,57.0,43.15405137536757,92.49808986863461,11.81838074398248,9.0,1,3,20,1.664805322762806,10802.0,93.77639781325395,PT-Thalamus
AA0780,154.1055917024563,0.9375804295815539,6.626976744186046,72.36586753737025,0.5992533762319239,1.0184353719656816,8907.234094,4539.048966,32,165663.51108014054,533,1075,6050,11,17,543,543,1666.264007188138,7808.1200090501125,72250.55995548404,6,2.0037835576065914,4354.726333,9.596491228070175,4333.1659938431585,2.654906713894567,8666.331987686319,-2.5303662829127447,5.270188507365477,62.0,54.2812242241994,76.35534790913056,9.596491228070176,6.0,1,2,20,1.8826920734677899,2188.0,97.44879820697119,PT-Thalamus
AA0792,204.02850317603492,0.9468488627536975,5.388579387186629,65.45942500181718,0.5727130990593791,1.0125509086571367,6654.8727260000005,4994.345591,8,146492.46528039308,356,718,3152,7,9,363,363,1793.943410382699,5418.355767623641,63587.756401998624,6,2.202261904761905,3113.0232190000006,9.83969465648855,3488.216608669731,2.619835047985152,6976.433217339463,-2.566612173029933,5.370383037300222,55.0,44.27863434389988,53.664870902611256,9.839694656488552,7.0,1,3,20,1.7568616204095115,1289.0,73.7510275983558,PT-Thalamus
AA0926,141.00248498543402,0.9100877226764195,7.484500574052813,68.84859790810816,0.5642384602858124,1.0224996182913426,6403.617388000001,5671.917679,12,122813.16442231304,431,871,5649,11,6,441,441,449.87673852585124,3669.8723783930386,48221.67697686972,6,2.5050465065974477,2157.672265,9.49812734082397,3297.4712263252395,3.4154298987117406,6594.942452650477,3.373224196636565,3.6341668508529446,63.0,52.73947863021788,74.37905021786253,9.49812734082396,4.0,1,1,20,1.947156347876108,2536.0,141.8374024950016,PT-Thalamus
